"Date","Card","Status","Description","Multiplier","Amount","Cash"
"2026-02-27","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-27","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-27","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-27","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-27","-41003","PENDING","COURSEHORSE","1.0%","$64.0","$0.64"
"2026-02-27","-41003","PENDING","APPLE.COM/BILL","6.0%","$1.05","$0.06"
"2026-02-27","-41003","PENDING","PARAMOUNT PLUS","6.0%","$13.99","$0.84"
"2026-02-26","-41003","REDEEMED","Statement Credit","1.0%","$0","$-94.92"
"2026-02-26","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-26","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-26","-41003","ADJUSTED","ZARA.COM","1.0%","$-59.9","$-0.6"
"2026-02-26","-41003","PENDING","RESIDENT ADVISOR USA CORP","1.0%","$33.2","$0.33"
"2026-02-25","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-25","-41003","PENDING","ZARA.COM","1.0%","$84.85","$0.85"
"2026-02-25","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-25","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-24","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-24","-41003","PENDING","MET FRESH SUPERMARKET","6.0%","$19.86","$1.19"
"2026-02-24","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-22","-41003","PENDING","MET FRESH SUPERMARKET","6.0%","$44.14","$2.65"
"2026-02-21","-41003","PENDING","AMAZON MARKEPLACE NA  PA","1.0%","$9.99","$0.1"
"2026-02-21","-41003","PENDING","JESSICA DELI GROCERY CORP","6.0%","$5.18","$0.31"
"2026-02-21","-41003","PENDING","NOTION LABS, INC.","1.0%","$13.07","$0.13"
"2026-02-20","-41003","PENDING","ODD FOX COFFEE","1.0%","$19.26","$0.19"
"2026-02-20","-41003","PENDING","KELLOG'S DINER","1.0%","$127.58","$1.28"
"2026-02-20","-41003","PENDING","UBER","3.0%","$18.02","$0.54"
"2026-02-20","-41003","PENDING","TEQUILITAS","1.0%","$29.9","$0.3"
"2026-02-19","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-19","-41003","PENDING","NYCT PAYGO","3.0%","$2.0","$0.06"
"2026-02-19","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-19","-41003","PENDING","AMAZON MARKEPLACE NA  PA","1.0%","$20.4","$0.2"
"2026-02-19","-41003","PENDING","OMEGA DELI & CAFFE","1.0%","$18.72","$0.19"
"2026-02-18","-41003","PENDING","CVS/PHARMACY #01791","1.0%","$1.51","$0.02"
"2026-02-18","-41003","PENDING","TRADER JOE'S 558","6.0%","$52.93","$3.18"
"2026-02-18","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-18","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-18","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-18","-41003","PENDING","HEADWAY","1.0%","$15.0","$0.15"
"2026-02-17","-41003","PENDING","VESELKA","1.0%","$25.78","$0.26"
"2026-02-17","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-17","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-17","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$4.68","$0.05"
"2026-02-17","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$7.28","$0.07"
"2026-02-17","-41003","PENDING","MULBERRY MARKET #2308","6.0%","$38.99","$2.34"
"2026-02-17","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-16","-41003","PENDING","NAYA WILLIAMSBURG","1.0%","$15.43","$0.15"
"2026-02-16","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-16","-41003","PENDING","DOORDASH","1.0%","$17.42","$0.17"
"2026-02-16","-41003","PENDING","UNIQLO ECOMMERCE","1.0%","$67.89","$0.68"
"2026-02-16","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-16","-41003","ADJUSTED","DEPOP","1.0%","$-19.0","$-0.19"
"2026-02-15","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$12.48","$0.12"
"2026-02-15","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$8.32","$0.08"
"2026-02-15","-41003","PENDING","LYFT","3.0%","$5.88","$0.18"
"2026-02-14","-41003","PENDING","LER LERS","1.0%","$101.61","$1.02"
"2026-02-14","-41003","PENDING","HAPPY'S LIQUOR CORP","1.0%","$16.0","$0.16"
"2026-02-14","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$9.36","$0.09"
"2026-02-14","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-13","-41003","PENDING","DOORDASH","1.0%","$32.71","$0.33"
"2026-02-13","-41003","PENDING","NYCT PAYGO","3.0%","$2.0","$0.06"
"2026-02-13","-41003","PENDING","UBER","3.0%","$12.3","$0.37"
"2026-02-13","-41003","PENDING","VERDURE FLORIST","1.0%","$52.8","$0.53"
"2026-02-13","-41003","PENDING","DOORDASH","1.0%","$25.67","$0.26"
"2026-02-13","-41003","PENDING","JUKE BAR","1.0%","$201.85","$2.02"
"2026-02-12","-41003","PENDING","URBAN WINE & SPIRITS","1.0%","$42.59","$0.43"
"2026-02-12","-41003","PENDING","S AND P LIQUOR AND WINE","1.0%","$13.05","$0.13"
"2026-02-12","-41003","PENDING","TABOULEH NY INC","1.0%","$20.19","$0.2"
"2026-02-12","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-12","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$4.68","$0.05"
"2026-02-11","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-11","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-11","-41003","ADJUSTED","547 BROADWAY, NY-ANF 11925","1.0%","$-90.0","$-0.9"
"2026-02-11","-41003","PENDING","194 MANHATTAN AVE DELI PL","6.0%","$10.38","$0.62"
"2026-02-11","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-11","-41003","PENDING","UPSIDE PIZZA - 51 SPRING ST","1.0%","$7.17","$0.07"
"2026-02-11","-41003","PENDING","DOORDASH","1.0%","$20.44","$0.2"
"2026-02-11","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-11","-41003","PENDING","UBER","3.0%","$4.79","$0.14"
"2026-02-11","-41003","PENDING","ODD FOX COFFEE","1.0%","$9.5","$0.1"
"2026-02-11","-41003","PENDING","VANGUARD FACTORY HAS COATS","1.0%","$4.36","$0.04"
"2026-02-11","-41003","PENDING","VERIZON WRLS RCCRNG PMTS","1.0%","$113.27","$1.13"
"2026-02-11","-41003","PENDING","VILLAGE VANGUARD","1.0%","$75.0","$0.75"
"2026-02-11","-41003","PENDING","UBER","3.0%","$14.42","$0.43"
"2026-02-10","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-10","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$21.32","$0.21"
"2026-02-10","-41003","PENDING","GIANO RISTORANTE","1.0%","$147.35","$1.47"
"2026-02-10","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-10","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-10","-41003","PENDING","VERDURE FLORIST","1.0%","$34.38","$0.34"
"2026-02-09","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$9.36","$0.09"
"2026-02-09","-41003","PENDING","CHEENI","1.0%","$20.44","$0.2"
"2026-02-09","-41003","PENDING","ANTHROPIC, PBC","1.0%","$21.78","$0.22"
"2026-02-08","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-08","-41003","PENDING","JESSICA DELI GROCERY CORP","6.0%","$12.48","$0.75"
"2026-02-08","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-08","-41003","PENDING","PRESTIGE GOURMET DELI COR","1.0%","$10.4","$0.1"
"2026-02-08","-41003","PENDING","UBER","3.0%","$31.94","$0.96"
"2026-02-08","-41003","PENDING","LOVEJOYS","1.0%","$43.16","$0.43"
"2026-02-08","-41003","PENDING","CAROUSEL","1.0%","$59.74","$0.6"
"2026-02-08","-41003","PENDING","KONA COFFEE ROASTERS","1.0%","$23.29","$0.23"
"2026-02-07","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-07","-41003","PENDING","ROSIE'S","1.0%","$104.39","$1.04"
"2026-02-07","-41003","PENDING","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-02-07","-41003","PENDING","UBER","3.0%","$35.64","$1.07"
"2026-02-05","-41003","PENDING","ZARA.COM","1.0%","$64.85","$0.65"
"2026-02-05","-41003","PENDING","SQUADUP","1.0%","$96.77","$0.97"
"2026-02-04","-41003","EARNED","DEPOP","1.0%","$19.0","$0.19"
"2026-02-02","-41003","EARNED","PRESTIGE GOURMET DELI COR","1.0%","$16.62","$0.17"
"2026-02-02","-41003","EARNED","SUNOCO PUMP","3.0%","$38.74","$1.16"
"2026-02-02","-41003","EARNED","SHAKE SHACK 3400720","1.0%","$10.43","$0.1"
"2026-02-02","-41003","EARNED","AMTRAK.COM","3.0%","$61.0","$1.83"
"2026-02-01","-41003","EARNED","PUREFITNESS & BLINK","1.0%","$22.99","$0.23"
"2026-02-01","-41003","EARNED","PRESTIGE GOURMET DELI COR","1.0%","$5.2","$0.05"
"2026-02-01","-41003","EARNED","ODD FOX COFFEE","1.0%","$15.24","$0.15"
"2026-01-31","-41003","EARNED","VITAL CLIMBING GYM","1.0%","$161.98","$1.62"
"2026-01-31","-41003","EARNED","NYCT PAYGO","3.0%","$3.0","$0.09"
"2026-01-31","-41003","EARNED","CR GOURMET DELI","6.0%","$3.39","$0.2"
