"Date","Card","Status","Description","Multiplier","Amount","Points/Miles"
"2026-03-11","-01008","PENDING","NINOS BREAKFAST SHACK","4.0x","$4.0","16.0"
"2026-03-10","-01008","PENDING","500FIFTH - NYC19","4.0x","$14.43","56.0"
"2026-03-09","-01008","PENDING","NINOS BREAKFAST SHACK","4.0x","$8.0","32.0"
"2026-03-07","-01008","PENDING","JOHN ORGANIC GOURMET DELI","4.0x","$1.23","4.0"
"2026-03-07","-01008","PENDING","TABOULEH NY INC","4.0x","$88.82","356.0"
"2026-03-07","-01008","PENDING","ODD FOX COFFEE","4.0x","$6.5","28.0"
"2026-03-07","-01008","PENDING","OLD MATES","4.0x","$34.8","140.0"
"2026-03-07","-01008","PENDING","UBER EATS","4.0x","$24.25","96.0"
"2026-03-06","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$13.0","52.0"
"2026-03-06","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$17.68","72.0"
"2026-03-06","-01008","PENDING","UNVEILED","4.0x","$51.55","208.0"
"2026-03-05","-01008","PENDING","194 MANHATTAN AVE DELI PL","4.0x","$10.4","40.0"
"2026-03-05","-01008","PENDING","NINOS BREAKFAST SHACK","4.0x","$11.0","44.0"
"2026-03-04","-01008","PENDING","O'DONOGHUES RESTAURANT A","4.0x","$12.09","48.0"
"2026-03-04","-01008","PENDING","NINOS BREAKFAST SHACK","4.0x","$7.0","28.0"
"2026-03-03","-01008","PENDING","NYC EXPRESS DELI"," ","$6.23","6.0"
"2026-03-03","-01008","PENDING","(GOPUFF) GB LICENSE"," ","$15.54","16.0"
"2026-03-03","-01008","PENDING","NYC EXPRESS DELI"," ","$18.12","18.0"
"2026-03-03","-01008","PENDING","KABDAKY CORP","4.0x","$19.0","76.0"
"2026-03-02","-01008","PENDING","DICE FM INC."," ","$83.48","83.0"
"2026-03-02","-01008","PENDING","CHIPOTLE 0632","4.0x","$9.55","40.0"
"2026-03-02","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$7.28","28.0"
"2026-03-02","-01008","PENDING","DOORDASH","4.0x","$32.73","132.0"
"2026-03-02","-01008","PENDING","DOORDASH","4.0x","$19.6","80.0"
"2026-03-02","-01008","PENDING","ODD FOX COFFEE","4.0x","$4.5","20.0"
"2026-03-01","-01008","PENDING","MERCURY LOUNGE"," ","$22.0","22.0"
"2026-03-01","-01008","PENDING","SAMS DELI X-PRESS CORP","4.0x","$2.08","8.0"
"2026-03-01","-01008","PENDING","SAMS DELI X-PRESS CORP","4.0x","$1.04","4.0"
"2026-03-01","-01008","PENDING","MERCURY LOUNGE","4.0x","$33.51","136.0"
"2026-03-01","-01008","PENDING","MERCURY LOUNGE","4.0x","$16.75","68.0"
"2026-03-01","-01008","PENDING","MOOD RING","4.0x","$43.34","172.0"
"2026-02-28","-01008","PENDING","L TRAIN VINTAGE"," ","$15.53","16.0"
"2026-02-28","-01008","PENDING","CR GOURMET DELI","4.0x","$4.53","20.0"
"2026-02-28","-01008","PENDING","PASTA DE PASTA EAST VILLAGE","4.0x","$23.42","92.0"
"2026-02-28","-01008","PENDING","A & J GOURMET DELI","4.0x","$2.08","8.0"
"2026-02-28","-01008","PENDING","BLUE RIBBON FRIED CHICKEN","4.0x","$23.36","92.0"
"2026-02-27","-01008","PENDING","PAK PUNJAB DELI"," ","$12.4","12.0"
