"Date","Card","Status","Description","Multiplier","Amount","Points/Miles"
"2026-02-28","-01008","PENDING","BH DAIRY KOSHER VEGETARIAN RESTAURANT","4.0x","$56.97","228.0"
"2026-02-27","-01008","PENDING","ATMI LIQUOR STORE"," ","$27.21","27.0"
"2026-02-27","-01008","PENDING","PUREFITNESS & BLINK"," ","$62.7","63.0"
"2026-02-27","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$4.68","20.0"
"2026-02-27","-01008","PENDING","PAK PUNJAB DELI"," ","$22.54","23.0"
"2026-02-27","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$8.3","32.0"
"2026-02-27","-01008","PENDING","THE LAZY LLAMA COFFEE BAR","4.0x","$6.44","24.0"
"2026-02-27","-01008","PENDING","COCUSOCIAL, INC."," ","$63.0","63.0"
"2026-02-26","-01008","PENDING","WALGREENS 21261"," ","$4.44","4.0"
"2026-02-25","-01008","PENDING","SX GOURMET","4.0x","$5.72","24.0"
"2026-02-25","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$6.22","24.0"
"2026-02-24","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$8.84","36.0"
"2026-02-23","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$9.36","36.0"
"2026-02-23","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$10.4","40.0"
"2026-02-22","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$5.72","24.0"
"2026-02-22","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$19.76","80.0"
"2026-02-21","-01008","PENDING","WIGGLE ROOM","4.0x","$33.5","136.0"
"2026-02-21","-01008","PENDING","AUGUST VAZAC RESTAURANT","4.0x","$87.04","348.0"
"2026-02-21","-01008","PENDING","UBER"," ","$52.72","53.0"
"2026-02-21","-01008","PENDING","ODD FOX COFFEE","4.0x","$14.38","56.0"
"2026-02-21","-01008","PENDING","WIGGLE ROOM","4.0x","$21.78","88.0"
"2026-02-21","-01008","PENDING","LUCY'S","4.0x","$28.74","116.0"
"2026-02-21","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$9.36","36.0"
"2026-02-21","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$15.6","64.0"
"2026-02-21","-01008","PENDING","JESSICA DELI GROCERY CORP","4.0x","$2.06","8.0"
"2026-02-21","-01008","PENDING","FANCY NY GRILL & DELI","4.0x","$8.96","36.0"
"2026-02-21","-01008","PENDING","FROG WINE BAR","4.0x","$88.85","356.0"
"2026-02-20","-01008","PENDING","PRESTIGE GOURMET DELI COR","4.0x","$10.4","40.0"
"2026-02-20","-01008","PENDING","DOORDASH","4.0x","$21.91","88.0"
